ID,Description
CR-Fairmount&T,Fairmount
CR-Fitchburg&T,Fitchburg
CR-Franklin&T,Franklin/Foxboro
CR-Greenbush&T,Greenbush
CR-Haverhill&T,Haverhill
CR-Kingston&T,Kingston
CR-Lowell&T,Lowell
CR-Middleborough&T,Middleborough/Lakeville
CR-Needham&T,Needham
CR-Newburyport&T,Newburyport/Rockport
CR-Providence&T,Providence/Stoughton
CR-Worcester&T,Framingham/Worcester
Green-B&T,B-Green
Green-C&T,C-Green
Green-D&T,D-Green
Green-E&T,E-Green
Mattapan&T,Mattapan
NCS&M,Natick
Orange&T,Orange
Red&T,Red
Blue&T,Blue
Boat-EastBoston&T,East
Boat-F1&T,Hingham/Hull
Boat-F4&T,Charlestown
Boat-F6&T,Winthrop/Quincy
Boat-Lynn&T,Lynn
